ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Education_Simplified,Marital_Simplified,TotalSpending,TotalChildren
1409,1951,Graduation,Together,40689.0,0,1,18-03-2013,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,75,Graduate,Married,444,1
7892,1969,Graduation,Single,18589.0,0,0,02-01-2013,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,57,Graduate,Single,75,0
2404,1976,Graduation,Married,53359.0,1,1,27-05-2013,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,50,Graduate,Married,257,2
9422,1989,Graduation,Married,38360.0,1,0,31-05-2013,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,37,Graduate,Married,131,1
6864,1989,Master,Divorced,10979.0,0,0,22-05-2014,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,37,Postgraduate,Single,30,0
3033,1963,Master,Together,38620.0,0,0,11-05-2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,63,Postgraduate,Married,318,0
8755,1946,Master,Married,68657.0,0,0,20-02-2013,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,80,Postgraduate,Married,1196,0
10738,1951,Master,Single,49389.0,1,1,29-08-2013,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,75,Postgraduate,Single,65,2
4339,1970,PhD,Married,67353.0,0,1,31-12-2013,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,56,Postgraduate,Married,913,1
10755,1976,2n Cycle,Married,23718.0,1,0,02-09-2013,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,50,Basic,Married,81,1
8595,1973,Graduation,Widow,42429.0,0,1,11-02-2014,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,53,Graduate,Single,67,1
503,1985,Master,Married,20559.0,1,0,12-03-2013,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,41,Postgraduate,Married,53,1
8430,1957,Graduation,Together,21994.0,0,1,24-12-2012,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,69,Graduate,Married,22,1
2139,1975,Master,Married,7500.0,1,0,02-10-2013,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,51,Postgraduate,Married,31,1
7286,1968,Graduation,Together,41728.0,1,0,24-05-2013,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,58,Graduate,Married,55,1
6566,1954,PhD,Married,72550.0,1,1,08-11-2012,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,72,Postgraduate,Married,1319,2
8614,1957,Graduation,Widow,65486.0,0,1,12-05-2014,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,69,Graduate,Single,507,1
1331,1977,Graduation,Single,35790.0,1,0,02-01-2013,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,49,Graduate,Single,72,1
9381,1978,Graduation,Married,66373.0,1,1,12-06-2013,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,48,Graduate,Married,606,2
7437,1988,Graduation,Single,27938.0,1,0,28-04-2014,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,38,Graduate,Single,29,1
8375,1968,PhD,Married,55954.0,0,1,03-03-2014,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,58,Postgraduate,Married,518,1
3076,1975,Graduation,Together,66653.0,1,1,07-09-2012,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,51,Graduate,Married,612,2
6518,1951,PhD,Widow,67680.0,0,1,11-06-2013,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,75,Postgraduate,Single,606,1
1386,1967,Graduation,Together,32474.0,1,1,11-05-2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,59,Graduate,Married,11,2
4477,1958,Graduation,Together,69096.0,0,1,27-09-2013,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,68,Graduate,Married,653,1
1357,1970,Graduation,Together,74854.0,1,2,08-04-2013,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,56,Graduate,Married,1562,3
6312,1959,Graduation,Married,65031.0,0,1,17-03-2013,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,67,Graduate,Married,863,1
1050,1952,Graduation,Married,28332.0,0,0,30-04-2014,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,74,Graduate,Married,65,0
5846,1977,Graduation,Divorced,40246.0,1,0,19-12-2012,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,49,Graduate,Single,13,1
3332,1985,Graduation,Single,29760.0,1,0,29-08-2012,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,41,Graduate,Single,165,1
2261,1969,Graduation,Married,26304.0,1,0,23-06-2013,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,57,Graduate,Married,16,1
5346,1973,2n Cycle,Married,23559.0,1,0,03-07-2013,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,53,Basic,Married,79,1
4119,1963,Master,Together,38620.0,0,0,11-05-2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,63,Postgraduate,Married,318,0
535,1987,Graduation,Divorced,81361.0,0,0,25-02-2014,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,39,Graduate,Single,778,0
5268,1960,Graduation,Married,29440.0,1,1,11-08-2013,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,66,Graduate,Married,56,2
771,1967,Graduation,Together,54178.0,0,1,21-01-2014,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,59,Graduate,Married,194,1
11178,1972,Master,Single,42394.0,1,0,23-03-2014,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,54,Postgraduate,Single,32,1
2230,1970,PhD,Married,23626.0,1,0,24-05-2014,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,56,Postgraduate,Married,43,1
7516,1983,Graduation,Married,30096.0,1,0,22-05-2014,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,43,Graduate,Married,45,1
11100,1972,Graduation,Divorced,51813.0,1,1,11-04-2013,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,54,Graduate,Single,63,2
3037,1983,PhD,Married,50150.0,0,0,20-06-2013,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,43,Postgraduate,Married,410,0
1473,1960,2n Cycle,Single,47823.0,0,1,23-07-2013,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,66,Basic,Single,72,1
1016,1959,PhD,Single,34554.0,0,1,30-03-2014,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,67,Postgraduate,Single,55,1
9370,1945,PhD,Married,65846.0,0,0,17-05-2013,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,81,Postgraduate,Married,1120,0
8373,1979,Basic,Together,24594.0,1,0,10-12-2013,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,47,Basic,Married,29,1
7533,1964,Graduation,Married,49096.0,1,1,24-09-2013,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,62,Graduate,Married,187,2
3629,1978,Graduation,Single,38557.0,1,0,19-12-2012,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,48,Graduate,Single,145,1
5077,1979,Graduation,Together,77298.0,0,1,02-11-2013,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,47,Graduate,Married,969,1
9215,1980,PhD,Married,43974.0,1,0,12-12-2012,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,46,Postgraduate,Married,551,1
2286,1962,Graduation,Single,50785.0,1,1,10-09-2013,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,64,Graduate,Single,114,2
5234,1967,2n Cycle,Together,30753.0,1,1,11-07-2013,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,59,Basic,Married,81,2
9862,1969,Graduation,Together,21918.0,1,0,14-11-2013,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,57,Graduate,Married,33,1
9805,1953,Master,Together,56129.0,0,1,20-06-2013,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,73,Postgraduate,Married,660,1
8442,1985,Master,Married,19510.0,2,0,04-09-2013,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,41,Postgraduate,Married,30,2
7386,1976,Graduation,Divorced,30992.0,1,0,22-04-2013,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,50,Graduate,Single,43,1
3381,1953,Master,Married,54348.0,1,1,08-06-2014,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,73,Postgraduate,Married,90,2
11051,1956,PhD,Together,77376.0,1,1,10-05-2014,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,70,Postgraduate,Married,661,2
8026,1952,Graduation,Married,62998.0,0,1,30-09-2013,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,74,Graduate,Married,463,1
433,1958,Master,Alone,61331.0,1,1,10-03-2013,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,68,Postgraduate,Single,632,2
9597,1969,Graduation,Married,73448.0,0,0,10-02-2014,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,57,Graduate,Married,725,0
5290,1964,PhD,Married,41551.0,1,1,14-08-2013,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,62,Postgraduate,Married,279,2
5342,1976,Basic,Divorced,9548.0,1,0,08-08-2012,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,50,Basic,Single,29,1
9579,1959,PhD,Married,33762.0,2,1,07-07-2013,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,67,Postgraduate,Married,106,3
1461,1965,PhD,Divorced,36921.0,1,1,28-07-2013,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,61,Postgraduate,Single,38,2
8690,1962,Graduation,Married,86111.0,0,0,19-04-2013,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,64,Graduate,Married,1385,0
2937,1974,PhD,Single,68352.0,0,1,28-08-2013,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,52,Postgraduate,Single,871,1
9701,1988,Graduation,Together,41883.0,1,0,19-03-2013,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,38,Graduate,Married,312,1
9949,1976,Graduation,Married,59809.0,0,2,18-10-2012,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,50,Graduate,Married,877,2
5885,1973,2n Cycle,Married,35688.0,2,1,22-08-2012,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0,53,Basic,Married,211,3
4050,1966,Master,Married,49605.0,0,0,21-06-2014,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0,60,Postgraduate,Married,127,0
3830,1953,Master,Married,59354.0,0,2,24-04-2014,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0,73,Postgraduate,Married,459,2
7798,1972,2n Cycle,Together,46344.0,0,1,14-12-2012,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0,54,Basic,Married,429,1
92,1988,Graduation,Alone,34176.0,1,0,12-05-2014,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0,38,Graduate,Single,89,1
7055,1952,PhD,Together,61010.0,0,1,09-10-2012,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0,74,Postgraduate,Married,1021,1
3025,1958,Graduation,Single,49967.0,0,1,08-07-2013,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,3,11,0,68,Graduate,Single,306,1
9283,1978,Graduation,Single,60199.0,1,2,12-09-2013,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0,48,Graduate,Single,18,3
9970,1977,Graduation,Together,55375.0,0,1,17-10-2013,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,0,49,Graduate,Married,162,1
2730,1955,Graduation,Single,80317.0,0,0,20-08-2013,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,3,11,0,71,Graduate,Single,1231,0
2795,1958,Master,Single,30523.0,2,1,01-07-2013,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,3,11,0,68,Postgraduate,Single,13,3
9260,1945,PhD,Married,70356.0,0,0,05-11-2012,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,3,11,0,81,Postgraduate,Married,1706,0
8182,1984,Graduation,Married,23228.0,1,0,05-01-2014,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,3,11,0,42,Graduate,Married,121,1
10095,1975,PhD,Divorced,74165.0,0,0,01-05-2013,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,3,11,0,51,Postgraduate,Single,1293,0
4370,1966,Graduation,Together,43482.0,2,1,13-11-2013,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,3,11,0,60,Graduate,Married,88,3
3152,1957,Graduation,Together,26091.0,1,1,25-02-2014,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,3,11,0,69,Graduate,Married,89,2
5610,1965,Graduation,Together,33456.0,1,1,21-04-2014,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,61,Graduate,Married,36,2
6460,1982,Graduation,Married,28718.0,1,0,13-07-2013,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,3,11,0,44,Graduate,Married,57,1
1349,1970,Graduation,Married,50447.0,2,0,21-04-2014,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,3,11,0,56,Graduate,Married,148,2
1880,1959,PhD,Together,53537.0,1,1,30-01-2014,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,3,11,0,67,Postgraduate,Married,93,2
8717,1975,PhD,Married,80427.0,0,1,12-09-2012,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,3,11,0,51,Postgraduate,Married,1835,1
10854,1970,PhD,Married,38853.0,1,1,23-05-2014,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,56,Postgraduate,Married,45,2
10492,1959,Graduation,Together,38285.0,2,1,24-06-2014,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,3,11,0,67,Graduate,Married,10,3
7698,1976,PhD,Married,51650.0,0,1,11-05-2014,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,3,11,0,50,Postgraduate,Married,191,1
3559,1988,2n Cycle,Married,16248.0,1,0,10-05-2014,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,3,11,0,38,Basic,Married,57,1
10562,1946,Master,Married,66835.0,0,0,28-09-2013,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,3,11,0,80,Postgraduate,Married,1033,0
10796,1984,Master,Married,30477.0,1,0,22-01-2014,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,3,11,0,42,Postgraduate,Married,66,1
2563,1961,Basic,Married,28249.0,0,0,15-06-2014,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,3,11,0,65,Basic,Married,43,0
3518,1983,Graduation,Married,25271.0,1,0,05-12-2012,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,3,11,0,43,Graduate,Married,50,1
5823,1970,PhD,Single,32303.0,0,1,08-03-2014,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,3,11,0,56,Postgraduate,Single,39,1
3934,1966,Graduation,Married,61286.0,0,1,02-08-2013,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,3,11,0,60,Graduate,Married,608,1
6982,1976,Graduation,Married,74068.0,0,0,19-03-2013,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,3,11,0,50,Graduate,Married,1581,0
6431,1964,PhD,Married,45759.0,1,1,23-02-2013,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,62,Postgraduate,Married,68,2
1324,1988,Graduation,Married,38872.0,1,0,30-05-2013,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,3,11,0,38,Graduate,Married,91,1
326,1973,Graduation,Married,51148.0,1,1,18-02-2013,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,3,11,0,53,Graduate,Married,315,2
7224,1977,Graduation,Married,31353.0,1,1,29-12-2013,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,3,11,0,49,Graduate,Married,31,2
6999,1980,Master,Married,69661.0,0,0,13-05-2014,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,3,11,0,46,Postgraduate,Married,834,0
8727,1978,Graduation,Divorced,63693.0,0,1,14-10-2013,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,3,11,0,48,Graduate,Single,1150,1
1030,1965,PhD,Single,40637.0,1,1,17-07-2013,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,3,11,0,61,Postgraduate,Single,38,2
5552,1963,Master,Divorced,48721.0,1,1,13-05-2013,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,3,11,0,63,Postgraduate,Single,293,2
868,1966,Graduation,Married,44794.0,0,1,08-06-2014,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,3,11,0,60,Graduate,Married,65,1
2677,1956,Graduation,Together,46097.0,0,1,31-03-2013,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,3,11,0,70,Graduate,Married,241,1
6927,1968,PhD,Married,44377.0,1,1,05-10-2012,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,3,11,0,58,Postgraduate,Married,264,2
1584,1977,Graduation,Married,41443.0,1,0,01-04-2014,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,3,11,0,49,Graduate,Married,482,1
7264,1978,2n Cycle,Single,52195.0,2,1,12-05-2014,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,3,11,0,48,Basic,Single,17,3
1377,1954,Master,Widow,44551.0,0,1,31-08-2013,24,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,3,11,0,72,Postgraduate,Single,285,1
454,1980,Graduation,Together,69508.0,1,0,14-11-2012,48,824,32,162,42,32,43,2,11,4,11,6,0,0,0,0,0,0,3,11,0,46,Graduate,Married,1135,1
1755,1988,2n Cycle,Together,45204.0,1,0,11-04-2014,93,30,11,25,29,1,18,1,1,1,4,3,0,0,0,0,0,0,3,11,0,38,Basic,Married,114,1
2075,1969,Graduation,Married,72460.0,0,0,14-11-2013,56,377,10,540,80,30,10,1,3,5,7,1,0,0,0,0,0,0,3,11,0,57,Graduate,Married,1047,0
4785,1970,PhD,Together,77622.0,0,2,14-04-2014,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,3,11,0,56,Postgraduate,Married,714,2
9076,1980,PhD,Married,30732.0,1,0,05-01-2013,44,155,1,25,0,1,3,4,4,1,4,8,0,0,0,0,0,0,3,11,0,46,Postgraduate,Married,185,1
7079,1962,Graduation,Divorced,63887.0,0,1,08-09-2012,38,897,23,207,15,11,92,5,9,6,12,6,0,0,0,0,0,0,3,11,0,64,Graduate,Single,1245,1
4653,1978,Graduation,Together,42011.0,1,0,26-03-2013,46,131,0,16,2,1,39,4,3,1,4,8,0,0,0,0,0,0,3,11,0,48,Graduate,Married,189,1
709,1952,Graduation,Divorced,51537.0,0,1,09-12-2012,27,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,3,11,0,74,Graduate,Single,1103,1
460,1972,PhD,Married,79930.0,0,0,08-08-2012,72,792,86,740,67,51,17,1,3,5,8,2,0,0,0,0,0,0,3,11,0,54,Postgraduate,Married,1753,0
3726,1986,PhD,Together,34320.0,1,0,16-02-2014,66,4,1,9,3,0,0,1,1,0,2,8,0,0,0,0,0,0,3,11,0,40,Postgraduate,Married,17,1
1606,1971,Graduation,Together,38590.0,1,0,15-05-2013,65,3,1,8,4,3,3,1,1,0,2,8,0,0,0,0,0,0,3,11,0,55,Graduate,Married,22,1
9617,1951,Graduation,Single,15033.0,0,0,16-04-2014,37,0,4,5,6,0,4,1,1,0,3,3,0,0,0,0,0,0,3,11,0,75,Graduate,Single,19,0
3233,1965,PhD,Married,62745.0,0,1,23-03-2013,89,562,21,464,28,10,32,3,7,8,11,5,0,0,0,0,0,0,3,11,0,61,Postgraduate,Married,1117,1
89,1975,2n Cycle,Married,22212.0,1,0,09-12-2013,49,5,9,20,6,8,21,2,2,0,4,6,0,0,0,0,0,0,3,11,0,51,Basic,Married,69,1
2936,1982,Master,Together,23661.0,1,0,04-12-2013,46,18,0,4,0,0,1,1,1,0,3,7,0,0,0,0,0,0,3,11,0,44,Postgraduate,Married,23,1
9449,1958,PhD,Single,79761.0,0,1,04-10-2013,32,415,5,124,15,35,11,1,5,2,11,3,0,0,0,0,0,0,3,11,0,68,Postgraduate,Single,605,1
7297,1973,Graduation,Single,7500.0,1,0,26-12-2013,54,5,3,10,12,7,20,4,3,1,3,7,0,0,0,0,0,0,3,11,0,53,Graduate,Single,57,1
10735,1971,Graduation,Single,22804.0,1,0,31-07-2013,75,14,1,7,2,1,1,1,2,0,2,9,0,0,0,0,0,0,3,11,0,55,Graduate,Single,26,1
6439,1958,Graduation,Married,61074.0,0,1,17-08-2012,37,789,0,133,0,28,152,7,11,5,8,7,0,0,0,0,0,0,3,11,0,68,Graduate,Married,1102,1
7411,1964,PhD,Married,31686.0,1,1,05-06-2014,31,11,0,5,0,0,1,2,1,0,3,6,0,0,0,0,0,0,3,11,0,62,Postgraduate,Married,17,2
9265,1953,Graduation,Married,75027.0,0,1,09-01-2013,74,925,64,179,133,12,77,2,9,4,6,5,0,0,0,0,0,0,3,11,0,73,Graduate,Married,1390,1
10236,1975,Master,Single,31160.0,1,0,16-09-2013,59,16,3,25,6,1,13,2,2,0,3,8,0,0,0,0,0,0,3,11,0,51,Postgraduate,Single,64,1
6340,1985,Graduation,Single,29938.0,1,0,27-10-2013,52,3,3,7,0,2,11,2,1,0,3,6,0,0,0,0,0,0,3,11,0,41,Graduate,Single,26,1
2227,1958,2n Cycle,Together,26490.0,0,0,22-09-2012,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,3,11,0,68,Basic,Married,210,0
10992,1967,Graduation,Together,75702.0,1,1,29-08-2012,77,650,28,353,45,42,30,5,4,6,11,8,0,0,0,0,0,0,3,11,0,59,Graduate,Married,1148,2
5304,1974,PhD,Single,30899.0,1,0,13-10-2012,35,24,0,8,0,0,1,2,1,0,3,6,0,0,0,0,0,0,3,11,0,52,Postgraduate,Single,33,1
